,location,new_cases,new_deaths,total_cases,total_deaths,continent,population
0,Afghanistan,1,0,1,0,Asia,38928341
1,Afghanistan,0,0,1,0,Asia,38928341
2,Afghanistan,0,0,1,0,Asia,38928341
3,Afghanistan,0,0,1,0,Asia,38928341
4,Afghanistan,0,0,1,0,Asia,38928341
5,Afghanistan,0,0,1,0,Asia,38928341
6,Afghanistan,0,0,1,0,Asia,38928341
7,Afghanistan,3,0,4,0,Asia,38928341
8,Afghanistan,3,0,7,0,Asia,38928341
9,Afghanistan,3,0,10,0,Asia,38928341
10,Afghanistan,6,0,16,0,Asia,38928341
11,Afghanistan,5,0,21,0,Asia,38928341
12,Afghanistan,1,0,22,0,Asia,38928341
13,Afghanistan,0,0,22,0,Asia,38928341
14,Afghanistan,0,0,22,0,Asia,38928341
15,Afghanistan,2,0,24,0,Asia,38928341
16,Afghanistan,0,0,24,0,Asia,38928341
17,Afghanistan,10,0,34,0,Asia,38928341
18,Afghanistan,6,1,40,1,Asia,38928341
19,Afghanistan,2,0,42,1,Asia,38928341
20,Afghanistan,33,0,75,1,Asia,38928341
21,Afghanistan,0,0,75,1,Asia,38928341
22,Afghanistan,16,1,91,2,Asia,38928341
23,Afghanistan,15,1,106,3,Asia,38928341
24,Afghanistan,8,1,114,4,Asia,38928341
25,Afghanistan,27,0,141,4,Asia,38928341
26,Afghanistan,25,0,166,4,Asia,38928341
27,Afghanistan,26,0,192,4,Asia,38928341
28,Afghanistan,43,0,235,4,Asia,38928341
29,Afghanistan,0,0,235,4,Asia,38928341
30,Afghanistan,35,1,270,5,Asia,38928341
31,Afghanistan,29,2,299,7,Asia,38928341
32,Algeria,1,0,1,0,Africa,43851043
33,Algeria,0,0,1,0,Africa,43851043
34,Algeria,0,0,1,0,Africa,43851043
35,Algeria,0,0,1,0,Africa,43851043
36,Algeria,0,0,1,0,Africa,43851043
37,Algeria,2,0,3,0,Africa,43851043
38,Algeria,2,0,5,0,Africa,43851043
39,Algeria,7,0,12,0,Africa,43851043
40,Algeria,5,0,17,0,Africa,43851043
41,Algeria,3,0,20,0,Africa,43851043
42,Algeria,0,0,20,0,Africa,43851043
43,Algeria,4,1,24,1,Africa,43851043
44,Algeria,2,1,26,2,Africa,43851043
45,Algeria,11,0,37,2,Africa,43851043
46,Algeria,11,2,48,4,Africa,43851043
47,Algeria,12,0,60,4,Africa,43851043
48,Algeria,0,1,60,5,Africa,43851043
49,Algeria,13,1,73,6,Africa,43851043
50,Algeria,9,1,82,7,Africa,43851043
