,location,new_cases,new_deaths,total_cases,total_deaths,continent,population
0,Afghanistan,1,0,1,0,Asia,38928341
1,Afghanistan,0,0,1,0,Asia,38928341
2,Afghanistan,0,0,1,0,Asia,38928341
3,Afghanistan,0,0,1,0,Asia,38928341
4,Afghanistan,0,0,1,0,Asia,38928341
5,Afghanistan,0,0,1,0,Asia,38928341
6,Afghanistan,0,0,1,0,Asia,38928341
7,Afghanistan,3,0,4,0,Asia,38928341
8,Afghanistan,3,0,7,0,Asia,38928341
9,Afghanistan,3,0,10,0,Asia,38928341
10,Afghanistan,6,0,16,0,Asia,38928341
11,Afghanistan,5,0,21,0,Asia,38928341
12,Afghanistan,1,0,22,0,Asia,38928341
13,Afghanistan,0,0,22,0,Asia,38928341
14,Afghanistan,0,0,22,0,Asia,38928341
15,Afghanistan,2,0,24,0,Asia,38928341
16,Afghanistan,0,0,24,0,Asia,38928341
17,Afghanistan,10,0,34,0,Asia,38928341
18,Afghanistan,6,1,40,1,Asia,38928341
19,Afghanistan,2,0,42,1,Asia,38928341
20,Afghanistan,33,0,75,1,Asia,38928341
21,Afghanistan,0,0,75,1,Asia,38928341
22,Afghanistan,16,1,91,2,Asia,38928341
23,Afghanistan,15,1,106,3,Asia,38928341
24,Afghanistan,8,1,114,4,Asia,38928341
25,Afghanistan,27,0,141,4,Asia,38928341
26,Afghanistan,25,0,166,4,Asia,38928341
27,Afghanistan,26,0,192,4,Asia,38928341
28,Afghanistan,43,0,235,4,Asia,38928341
29,Afghanistan,0,0,235,4,Asia,38928341
30,Afghanistan,35,1,270,5,Asia,38928341
31,Afghanistan,29,2,299,7,Asia,38928341
32,Albania,2,0,2,0,Europe,2877800
33,Albania,4,0,6,0,Europe,2877800
34,Albania,4,0,10,0,Europe,2877800
35,Albania,1,1,11,1,Europe,2877800
36,Albania,12,0,23,1,Europe,2877800
37,Albania,10,0,33,1,Europe,2877800
38,Albania,5,0,38,1,Europe,2877800
39,Albania,4,0,42,1,Europe,2877800
40,Albania,9,0,51,1,Europe,2877800
41,Albania,4,0,55,1,Europe,2877800
42,Albania,4,1,59,2,Europe,2877800
43,Albania,11,0,70,2,Europe,2877800
44,Albania,0,0,70,2,Europe,2877800
45,Albania,6,0,76,2,Europe,2877800
46,Albania,13,0,89,2,Europe,2877800
47,Albania,11,2,100,4,Europe,2877800
48,Albania,23,1,123,5,Europe,2877800
49,Albania,23,0,146,5,Europe,2877800
50,Albania,28,1,174,6,Europe,2877800
