,Year,Country Name,Country Code,Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Net migration [SM.POP.NETM],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]","People using at least basic sanitation services, urban  (% of urban population) [SH.STA.BASS.UR.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
0,2018,Afghanistan,AFG,50.5,57.24876048,162.78115818,8.6,64.13,13952821.0,43.01972,65.42055,-314602.0,67.0646234205214,57.321292117985294,95.90874286310249,43.41761001455111,37.05230367113771,62.2614377318993,74.505,102.3105,53.79764,9.68642,0.2,25.495
1,2018,Albania,ALB,99.8,271.54304258,759.66698419,4.5,78.333,1322907.0,98.14115,99.33,-69998.0,91.0392276676191,89.8751738843797,91.8354213951976,97.7183683821447,96.8855326639473,98.28801437658208,39.681,106.9934,95.43233000000001,54.961330000000004,7.5,60.318999999999996
2,2018,Algeria,DZA,96.6,260.41257932,998.15375388,8.5,76.499,12187913.0,81.40784000000001,97.42652,-50002.0,93.55588814365,88.69095650511271,95.44293244389391,87.58657093299419,82.2092377425238,89.6723686741351,27.371,109.8828,99.61435,51.36567,0.9,72.62899999999999
3,2018,American Samoa,ASM,,,,,,,,,,99.7737716585101,,,54.4547603777711,,,12.847000000000001,,,,,87.15299999999999
4,2018,Andorra,AND,,3834.73058142,4978.7066016,6.6,,,,,,99.9999962826959,100.0,100.0,99.9999962826959,100.0,100.0,11.937999999999999,,,,11.3,88.06200000000001
5,2018,Angola,AGO,49.6,95.22079857,185.82040062,3.5,60.379,12728920.0,66.03011,77.43113000000001,32066.0,55.842904872241405,27.4442923016968,71.24295652183321,49.8769787577501,23.2327684619097,64.3256498006045,34.486,113.478,50.671479999999995,9.336260000000001,6.4,65.514
6,2018,Antigua and Barbuda,ATG,100.0,623.11462593,976.3886597000001,7.1,76.752,,98.95,,0.0,96.7391862762709,,,87.5042823844152,,,75.40100000000001,105.0213,111.196,24.83026,7.0,24.599
7,2018,Argentina,ARG,99.6,955.2009489,1531.0383612,5.7,76.372,20252061.0,99.00386999999999,99.50551999999999,24000.0,99.07837464826099,92.9836600501062,99.6353228779752,94.25850541768209,76.774394263034,95.85623215493071,8.13,109.7415,108.7336,89.95852,9.8,91.87
8,2018,Armenia,ARM,99.8,358.84174796,876.85685658,7.8,74.797,1377615.0,99.73607,99.84702,-24989.0,99.91337653688039,100.0,99.86272687548109,93.64230726953551,83.2155842091337,99.73892328435221,36.851,92.71525,83.15068000000001,54.57048,5.5,63.148999999999994
9,2018,Aruba,ABW,,,,10.2,76.01,,97.80742,99.5,1004.0,97.86902338098591,,,97.5434811165022,,,56.589,117.1081,111.1598,15.599210000000001,,43.411
10,2018,Australia,AUS,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575.0,,,791229.0,99.96993559668041,100.0,99.965,99.9911523822512,,,13.988,100.339,150.3115,113.1422,10.6,86.012
11,2018,Austria,AUT,98.4,4688.28020378,5295.1817721,8.9,81.6414634146342,4566467.0,,,324998.0,100.0,100.0,100.0,99.9729096123263,100.0,99.95336801356008,41.703,103.1132,100.4552,85.05714,11.6,58.297
12,2018,Azerbaijan,AZE,99.8,268.15586521,1193.05883013,7.5,72.693,5053891.0,99.79123,99.93805,6002.0,91.3857399436573,81.571128383976,99.3052806509215,92.51144534712591,87.6387617158749,96.44327862821459,44.32,99.7221,94.48008,27.7085,0.8,55.68
13,2018,"Bahamas, The",BHS,99.6,1835.22820219,1435.56751295,10.4,73.554,222870.0,,,4999.0,98.88696049734051,,,94.9305823307593,,,16.975,81.46426,73.40247,,4.4,83.025
14,2018,Bahrain,BHR,99.7,1099.36229078,1866.29732036,15.4,77.032,923068.0,97.46419,99.6872,239000.0,100.0,,,100.0,,,10.713,99.36305,98.59907,50.4819,1.9,89.287
15,2018,Bangladesh,BGD,49.8,34.21796766,90.59840433,6.6,72.05199999999999,68501955.0,73.9122,93.29644,-1847503.0,97.0160055709065,96.752547385615,97.48727373692181,48.233242717701906,46.8573575801886,50.6943955746015,63.368,116.4663,72.6906,20.565070000000002,0.0,36.632
16,2018,Barbados,BRB,99.0,1163.84456087,1322.9855087,8.0,78.98100000000001,155283.0,99.6,99.9,-397.0,98.4944475807257,,,97.2793784985907,,,68.85300000000001,99.35135,103.7039,65.42534,9.6,31.147
17,2018,Belarus,BLR,99.8,317.99419058,1151.40884919,7.6,74.12926829268291,5021621.0,99.75656,99.85,43648.0,96.48397118806508,98.3001911497766,95.97570065069509,97.7909519750284,96.26100387956329,98.2191150223269,21.405,100.5002,102.4395,87.42909,11.2,78.595
18,2018,Belgium,BEL,,4149.38532224,4667.88228695,5.3,81.4390243902439,5047171.0,,,240000.0,100.00000333763701,100.0,100.0,99.486060200783,99.48276564732559,99.486125385406,1.999,103.9056,158.5419,79.66173,12.1,98.001
19,2018,Belize,BLZ,96.8,303.60483768,541.43432741,9.8,74.365,179356.0,,,6000.0,97.99257978721741,97.21425507058979,98.92107,87.85852354979441,83.4993864045077,93.05868755475159,54.276,111.6969,85.37246,24.65664,6.8,45.724
20,2018,Benin,BEN,78.1,30.40151289,83.47636765,4.6,61.174,4707182.0,42.3624,60.948080000000004,-10000.0,66.4147253381272,58.216399404834995,75.7461755777649,16.452920570178403,7.621410798278201,26.5050695879069,52.688,121.9583,59.042519999999996,12.27414,3.0,47.312
21,2018,Bermuda,BMU,,,,10.2,81.4419512195122,,,,,99.90314001706359,,99.90314001706359,99.90314001706359,,99.90314001706359,0.0,101.1463,76.95238,19.027260000000002,,100.0
22,2018,Bhutan,BTN,89.0,91.33533448,293.1100222,3.6,71.12899999999999,374999.0,66.56115,93.09063,1600.0,97.2333833352482,96.73119364925371,97.98144806220921,69.2539354517128,67.0114379715929,72.5943729635954,59.105,100.1397,90.09468000000001,15.55451,0.6,40.895
23,2018,Bolivia,BOL,89.8,213.01732534,496.30618855,6.0,70.945,5312765.0,92.45508000000001,99.39917,-47520.0,92.84873517930251,78.1195418513171,99.44147691887841,60.7169375713243,36.0758841670595,71.746197468182,30.575,97.55629,90.39978,,4.8,69.425
24,2018,Bosnia and Herzegovina,BIH,99.9,443.78378047,1123.4254254,7.1,77.128,1326208.0,96.99176999999999,99.66243,-107926.0,96.1423560850213,97.3333333333333,94.845704401265,95.36023530872808,92.13910087025391,98.86717836676941,51.755,,,,6.4,48.245
25,2018,Botswana,BWA,99.7,379.9230078,931.30471441,5.4,68.812,1073634.0,87.7,97.7,14999.0,90.3377133593968,75.52805341689671,97.0850555944388,77.2692247843667,50.5977547118997,89.42085670497342,30.554000000000002,103.2384,,24.85997,8.4,69.446
26,2018,Brazil,BRA,99.2,1015.93444765,1777.47047654,6.4,75.456,105369207.0,93.2275,99.20416999999999,106000.0,98.1933926745912,89.7386139292663,99.5345519236895,88.29384940555971,60.1461435999187,92.75885346534149,13.431,115.4478,100.8277,51.3436,7.8,86.569
27,2018,British Virgin Islands,VGB,,,,10.2,,,,,,99.8643835616439,,,96.8579794836767,,,52.277,128.8253,101.5766,41.34854,,47.723
28,2018,Brunei Darussalam,BRN,100.0,630.6293586,1812.41364645,12.6,75.585,215104.0,97.21410999999999,99.70894,0.0,99.9000090900827,,,96.34904194638571,,,22.371,103.1516,93.48278,31.39258,0.4,77.62899999999999
29,2018,Bulgaria,BGR,99.8,612.47858555,1577.94276162,6.5,74.8121951219512,3320506.0,98.35245,97.86505,-24001.0,99.1083428248685,98.0458504576704,99.4687868785394,86.0036981124037,83.71423709509871,86.7803837953092,24.991999999999997,91.08322,99.67708,71.24574,12.7,75.008
30,2018,Burkina Faso,BFA,79.8,40.94095568,115.60433137,3.8,60.768,7245623.0,41.22445,58.29,-125000.0,47.8881273382888,34.989963856206195,79.8640679936693,19.4020870942332,11.3440524223371,39.378825552036204,70.642,96.09037,40.70973,6.501869999999999,8.2,29.358
31,2018,Burundi,BDI,85.1,18.46188216,50.25423113,1.8,60.898,4813420.0,68.37533,88.22176999999999,10003.0,60.8305489209566,56.61833360019379,89.76972567576999,45.8212048667364,46.4205911725319,41.7032468245098,86.96799999999999,121.4216,48.46502,6.05016,7.5,13.032
32,2018,Cabo Verde,CPV,91.4,159.07351003,347.64124992,5.3,72.57,267616.0,86.79029,98.11131,-6709.0,87.08320801329229,75.78000767960471,93.1,73.85378675991191,62.352966675589705,79.97577346111909,34.268,104.02799999999999,88.15511,24.3977,5.7,65.732
