,Survived,Age,firstclass,secondclass,thirdclass,C,Q,S,female,male
0,0,22.0,0,0,1,0,0,1,0,1
1,1,38.0,1,0,0,1,0,0,1,0
2,1,26.0,0,0,1,0,0,1,1,0
3,1,35.0,1,0,0,0,0,1,1,0
4,0,35.0,0,0,1,0,0,1,0,1
5,0,54.0,1,0,0,0,0,1,0,1
6,0,2.0,0,0,1,0,0,1,0,1
7,1,27.0,0,0,1,0,0,1,1,0
8,1,14.0,0,1,0,1,0,0,1,0
9,1,4.0,0,0,1,0,0,1,1,0
10,1,58.0,1,0,0,0,0,1,1,0
11,0,20.0,0,0,1,0,0,1,0,1
12,0,39.0,0,0,1,0,0,1,0,1
13,0,14.0,0,0,1,0,0,1,1,0
14,1,55.0,0,1,0,0,0,1,1,0
15,0,2.0,0,0,1,0,1,0,0,1
16,0,31.0,0,0,1,0,0,1,1,0
17,0,35.0,0,1,0,0,0,1,0,1
18,1,34.0,0,1,0,0,0,1,0,1
19,1,15.0,0,0,1,0,1,0,1,0
20,1,28.0,1,0,0,0,0,1,0,1
21,0,8.0,0,0,1,0,0,1,1,0
22,1,38.0,0,0,1,0,0,1,1,0
23,0,19.0,1,0,0,0,0,1,0,1
24,0,40.0,1,0,0,1,0,0,0,1
25,0,66.0,0,1,0,0,0,1,0,1
26,0,28.0,1,0,0,1,0,0,0,1
27,0,42.0,1,0,0,0,0,1,0,1
28,0,21.0,0,0,1,0,0,1,0,1
29,0,18.0,0,0,1,0,0,1,1,0
30,1,14.0,0,0,1,1,0,0,1,0
31,0,40.0,0,0,1,0,0,1,1,0
32,0,27.0,0,1,0,0,0,1,1,0
33,1,3.0,0,1,0,1,0,0,1,0
34,1,19.0,0,0,1,0,1,0,1,0
35,0,18.0,0,0,1,0,0,1,1,0
36,0,7.0,0,0,1,0,0,1,0,1
37,0,21.0,0,0,1,0,0,1,0,1
38,1,49.0,1,0,0,1,0,0,1,0
39,1,29.0,0,1,0,0,0,1,1,0
40,0,65.0,1,0,0,1,0,0,0,1
41,1,21.0,0,1,0,0,0,1,1,0
42,0,28.5,0,0,1,1,0,0,0,1
43,1,5.0,0,1,0,0,0,1,1,0
44,0,11.0,0,0,1,0,0,1,0,1
45,0,22.0,0,0,1,1,0,0,0,1
46,1,38.0,1,0,0,0,0,0,1,0
47,0,45.0,1,0,0,0,0,1,0,1
48,0,4.0,0,0,1,0,0,1,0,1
49,1,29.0,0,1,0,0,0,1,1,0
50,0,19.0,0,0,1,0,0,1,0,1
51,1,17.0,0,0,1,0,0,1,1,0
52,0,26.0,0,0,1,0,0,1,0,1
53,0,32.0,0,1,0,0,0,1,0,1
54,0,16.0,0,0,1,0,0,1,1,0
55,0,21.0,0,1,0,0,0,1,0,1
56,0,26.0,0,0,1,1,0,0,0,1
57,1,32.0,0,0,1,0,0,1,0,1
58,0,25.0,0,0,1,0,0,1,0,1
59,1,0.83,0,1,0,0,0,1,0,1
60,1,30.0,0,0,1,0,0,1,1,0
61,0,22.0,0,0,1,0,0,1,0,1
